  0.000000000000000000E+00  0.100816298375870272E+01  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00
  0.309518443954003922E-01  0.101139754574821250E+01 -0.497984942749820736E-03  0.848155477297481142E-02 -0.149370349758538353E-01  0.455187322821274992E-03  0.100000000000000002E-01  0.000000000000000000E+00
  0.311152524550928969E-01  0.101109724055677930E+01 -0.488880266498825200E-03  0.785767226595913970E-02 -0.150919787654246480E-01  0.455249889414803110E-03  0.299999999999999989E-01  0.000000000000000000E+00
  0.314041763553531555E-01  0.101048779262348631E+01 -0.470676289451203028E-03  0.658269066845346140E-02 -0.153741525594239519E-01  0.454827144219193920E-03  0.700000000000000067E-01  0.000000000000000000E+00
  0.318257676013182778E-01  0.100923889909643849E+01 -0.434392183974289549E-03  0.393781408172674645E-02 -0.158214667125736591E-01  0.451788063956327544E-03  0.150000000000000022E+00  0.000000000000000000E+00
  0.320315926993122793E-01  0.100796077523512562E+01 -0.398468058244382916E-03  0.119422262774937851E-02 -0.161032627363752595E-01  0.445829842385001831E-03  0.230000000000000038E+00  0.000000000000000000E+00
  0.320151388233039721E-01  0.100666700675524212E+01 -0.363136686199301876E-03 -0.161325067423406972E-02 -0.162115688606096660E-01  0.436974325394638718E-03  0.310000000000000053E+00  0.000000000000000000E+00
  0.317727242990469214E-01  0.100537166741058059E+01 -0.328628387446957301E-03 -0.444877371975371458E-02 -0.161421216596674445E-01  0.425261121354246225E-03  0.390000000000000069E+00  0.000000000000000000E+00
  0.313035519234229620E-01  0.100408903089497059E+01 -0.295169584205809453E-03 -0.727617231186125646E-02 -0.158941476409944285E-01  0.410748139092554970E-03  0.470000000000000084E+00  0.000000000000000000E+00
  0.306097116118922846E-01  0.100283330114058744E+01 -0.262981318971641765E-03 -0.100595408658228115E-01 -0.154701226696429255E-01  0.393512025355543019E-03  0.550000000000000044E+00  0.000000000000000000E+00
