  0.000000000000000000E+00  0.100816298375870272E+01  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00
  0.309518448120779249E-01  0.101139755049057212E+01 -0.497984912606519686E-03  0.848165061689199092E-02 -0.149360901987072997E-01  0.455193274143222992E-03  0.100000000000000002E-01  0.000000000000000000E+00
  0.311152584202203826E-01  0.101109728249203945E+01 -0.488880009300208737E-03  0.785817874559319347E-02 -0.150892243634521191E-01  0.455266322942032560E-03  0.299999999999999989E-01  0.000000000000000000E+00
  0.314042315267182987E-01  0.101048801030433189E+01 -0.470675048105440247E-03  0.658480693864630859E-02 -0.153682383270701654E-01  0.454858546004760760E-03  0.700000000000000067E-01  0.000000000000000000E+00
  0.318261945527526305E-01  0.100923976191096565E+01 -0.434388042957658280E-03  0.394533591259123208E-02 -0.158119393306775033E-01  0.451822982137123580E-03  0.150000000000000022E+00  0.000000000000000000E+00
  0.320328679319788479E-01  0.100796239819225431E+01 -0.398462285150743330E-03  0.120776640356903093E-02 -0.160945342061961372E-01  0.445828733867438174E-03  0.230000000000000038E+00  0.000000000000000000E+00
  0.320176737334485484E-01  0.100666915850570771E+01 -0.363133897603135775E-03 -0.159587232642522552E-02 -0.162076289904408456E-01  0.436893160735461067E-03  0.310000000000000053E+00  0.000000000000000000E+00
  0.317766661707132650E-01  0.100537386063923506E+01 -0.328636867576648044E-03 -0.443178339352493823E-02 -0.161452004011132279E-01  0.425052436197970033E-03  0.390000000000000069E+00  0.000000000000000000E+00
  0.313086742571396515E-01  0.100409069627122460E+01 -0.295201509230232724E-03 -0.726442923029445211E-02 -0.159040163000280683E-01  0.410362333353236019E-03  0.470000000000000084E+00  0.000000000000000000E+00
  0.306154265242870247E-01  0.100283398431996740E+01 -0.263052869517070543E-03 -0.100569711748570590E-01 -0.154842274341136735E-01  0.392898846155444788E-03  0.550000000000000044E+00  0.000000000000000000E+00
  0.297016224524420010E-01  0.100161787850818818E+01 -0.232409092756088851E-03 -0.127721551402466792E-01 -0.148898786268331900E-01  0.372758593220378254E-03  0.630000000000000004E+00  0.000000000000000000E+00
  0.285749184247072567E-01  0.100045604490738493E+01 -0.203479763091647144E-03 -0.153735343182593628E-01 -0.141291170656839687E-01  0.350058960357194906E-03  0.709999999999999964E+00  0.000000000000000000E+00
